MovieID,Title,Genres,Original Title,Year
1,Toy Story,Animation|Children's|Comedy,,1995
2,Jumanji,Adventure|Children's|Fantasy,,1995
3,Grumpier Old Men,Comedy|Romance,,1995
4,Waiting to Exhale,Comedy|Drama,,1995
5,Father of the Bride Part II,Comedy,,1995
6,Heat,Action|Crime|Thriller,,1995
7,Sabrina,Comedy|Romance,,1995
8,Tom and Huck,Adventure|Children's,,1995
9,Sudden Death,Action,,1995
10,GoldenEye,Action|Adventure|Thriller,,1995
11,The american president,Comedy|Drama|Romance,,1995
12,Dracula: Dead and Loving It,Comedy|Horror,,1995
13,Balto,Animation|Children's,,1995
14,Nixon,Drama,,1995
15,Cutthroat Island,Action|Adventure|Romance,,1995
16,Casino,Drama|Thriller,,1995
17,Sense and Sensibility,Drama|Romance,,1995
18,Four Rooms,Thriller,,1995
19,Ace Ventura: When Nature Calls,Comedy,,1995
20,Money Train,Action,,1995
21,Get Shorty,Action|Comedy|Drama,,1995
22,Copycat,Crime|Drama|Thriller,,1995
23,Assassins,Thriller,,1995
24,Powder,Drama|Sci-Fi,,1995
25,Leaving Las Vegas,Drama|Romance,,1995
26,Othello,Drama,,1995
27,Now and Then,Drama,,1995
28,Persuasion,Romance,,1995
29,The city of lost children,Adventure|Sci-Fi,,1995
30,Shanghai Triad,Drama,Yao a yao yao dao waipo qiao,1995
31,Dangerous Minds,Drama,,1995
32,Twelve Monkeys,Drama|Sci-Fi,,1995
33,Wings of Courage,Adventure|Romance,,1995
34,Babe,Children's|Comedy|Drama,,1995
35,Carrington,Drama|Romance,,1995
36,Dead Man Walking,Drama,,1995
37,Across the Sea of Time,Documentary,,1995
38,It Takes Two,Comedy,,1995
39,Clueless,Comedy|Romance,,1995
40,Crythe Beloved Country,Drama,,1995
41,Richard III,Drama|War,,1995
42,Dead Presidents,Action|Crime|Drama,,1995
43,Restoration,Drama,,1995
44,Mortal Kombat,Action|Adventure,,1995
45,To Die For,Comedy|Drama,,1995
46,How to Make an American Quilt,Drama|Romance,,1995
47,Seven,Crime|Thriller,Se7en,1995
48,Pocahontas,Animation|Children's|Musical|Romance,,1995
49,When Night Is Falling,Drama|Romance,,1995
50,The usual suspects,Crime|Thriller,,1995
51,Guardian Angel,Action|Drama|Thriller,,1994
52,Mighty Aphrodite,Comedy,,1995
53,Lamerica,Drama,,1994
54,The big green,Children's|Comedy,,1995
55,Georgia,Drama,,1995
56,Kids of the Round Table,Adventure|Children's|Fantasy,,1995
57,Home for the Holidays,Drama,,1995
58,Il postino,Drama|Romance,The Postman,1994
59,The confessional,Drama|Mystery,Le Confessionnal,1995
60,The indian in the cupboard,Adventure|Children's|Fantasy,,1995
61,Eye for an Eye,Drama|Thriller,,1996
62,Mr. Holland's Opus,Drama,,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,,1996
64,Two if by Sea,Comedy|Romance,,1996
65,Bio-Dome,Comedy,,1996
66,Lawnmower Man 2: Beyond Cyberspace,Sci-Fi|Thriller,,1996
67,Two Bits,Drama,,1995
68,French Twist,Comedy|Romance,Gazon maudit,1995
69,Friday,Comedy,,1995
70,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller,,1996
71,Fair Game,Action,,1995
72,Kicking and Screaming,Comedy|Drama,,1995
73,MisérablesLes,Drama|Musical,,1995
74,Bed of Roses,Drama|Romance,,1996
75,Big Bully,Comedy|Drama,,1996
76,Screamers,Sci-Fi|Thriller,,1995
77,Nico Icon,Documentary,,1995
78,The crossing guard,Drama,,1995
79,The juror,Drama|Thriller,,1996
80,The white balloon,Drama,Badkonake Sefid,1995
81,Things to Do in Denver when You're Dead,Crime|Drama|Romance,,1995
82,Antonia's Line,Drama,Antonia,1995
83,Once Upon a Time... When We Were Colored,Drama,,1995
84,Last Summer in the Hamptons,Comedy|Drama,,1995
85,Angels and Insects,Drama|Romance,,1995
86,White Squall,Adventure|Drama,,1996
87,Dunston Checks In,Children's|Comedy,,1996
88,Black Sheep,Comedy,,1996
89,Nick of Time,Action|Thriller,,1995
